V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,Class
-185,2264,-4,-663,-918,2024,-1764,-1143,-55,35,1769,768,178,-543,-86,468,-678,1327,-376,-13,0
2255,-202,-3158,-165,1497,483,2624,-1781,-1134,1211,148,-107,-1567,-3269,-699,1041,1677,-1331,1533,764,1
1852,3291,-3268,216,2321,-2114,3058,-4076,18,897,3143,2393,-514,2219,1108,-4536,-2404,-2979,-19,-528,1
83,-2054,2193,522,-1675,2126,1981,53,1966,-5906,-2552,-41,82,-2544,1556,689,-43,-299,-152,2645,1
1389,1071,834,-6,868,1377,346,87,1133,-364,1538,16,625,296,424,926,2914,5,-8,716,0
-204,-5495,-285,174,401,-2058,-1242,104,-2804,541,-978,-14,-1278,4397,666,-381,-481,-475,-542,1718,1
703,1337,-99,629,1294,-392,98,2139,1272,-626,155,3315,1714,3174,66,-219,-322,726,142,1741,0
1328,139,-412,-43,801,2093,235,241,267,2028,2123,949,361,602,-2889,49,-16,-554,-121,-982,0
2166,-878,139,174,-791,-702,232,276,-1443,474,-142,1824,-546,179,453,1408,104,55,1612,136,0
-1067,1529,-685,-3025,3751,695,-83,-3253,-3852,-2862,-202,-1822,-3395,11,-2539,-19,-2847,1264,-2754,-535,1
477,181,1453,-728,-455,-1144,-262,77,2,78,-156,108,1239,-364,-6,-153,1506,-175,-1117,805,0
2009,1716,781,-276,1389,656,-613,-1404,294,-1,1288,17,704,1065,1112,449,-602,601,2203,-104,0
-304,2748,-1349,-332,2409,857,-1088,768,519,-62,-291,-286,7,1181,214,1265,-149,1556,78,1509,0
3394,677,166,-2436,-246,1747,-2122,4583,2764,-1123,-5822,181,-736,29,142,4574,-428,1113,-5663,-1429,1
658,656,2915,-521,1394,-157,-296,853,2033,1376,91,-338,-308,797,754,353,-26,534,522,-805,0
-2774,456,-854,3948,-1551,-1191,2748,-853,1596,1104,-1865,3494,1266,2663,1589,284,-937,613,76,133,1
-693,1941,823,4274,-2429,1115,-2002,-1643,-652,-372,325,-1293,-1848,-78,-1082,-809,-3169,-651,-414,206,1
-3424,3879,1337,-764,-587,926,13,-1544,426,3462,2078,-208,-157,-335,-2248,457,654,-3478,1964,3723,1
-285,481,-317,86,275,1928,-743,1359,-188,1393,372,-418,-509,1044,-98,121,62,117,5,-1156,0
244,-135,452,-1274,2652,581,568,1547,1755,439,-1026,-76,-1099,93,-854,923,617,1026,72,-165,0
2435,243,-2249,-2461,4062,946,669,736,-1807,-1004,-2129,-21,217,1634,426,128,-713,221,-572,3045,1
68,1549,-92,326,345,1782,-619,858,396,65,-319,167,1194,-773,713,76,43,2313,1914,-578,0
226,9,-146,1649,-22,1385,176,-616,665,473,1132,2252,1266,728,503,1377,2,-1088,1967,1148,0
1857,-1324,302,779,126,1656,-1472,-1189,1697,166,912,667,-666,2178,-175,-3812,-1292,-359,-23,1798,1
-1453,-373,-2827,1156,-911,1073,669,-3659,4197,2264,-195,-2238,452,811,-511,763,-668,-1521,471,238,1
-1261,-207,49,-529,-485,964,969,-422,-536,-1682,569,69,-543,-339,24,-1957,-4,2841,-626,825,0
-219,2048,-1574,-2693,741,823,231,1226,1348,604,-2274,-252,146,-61,-179,-1104,11,-264,2658,1708,1
1064,2299,-662,32,1747,483,138,636,1394,1083,185,61,839,1996,-999,-882,-56,768,736,-757,0
-44,2329,-185,117,218,-1421,-1071,-87,1148,-2009,-1554,-423,185,16,-64,-2647,2413,-2312,1104,-128,1
263,14,53,257,-18,856,-23,1893,-25,655,125,-161,-196,-381,1272,406,1496,-669,1734,1402,0
2245,1149,1352,269,659,-1171,329,-77,48,-1754,-1143,-1086,-1163,1018,-831,-1166,2043,-569,1579,33,0
-1337,-1462,-256,1968,428,-1429,-4636,33,-744,81,774,-6,-3209,-1598,241,2524,1884,2862,-2879,-1092,1
2318,65,-1414,-1586,1393,-1784,-176,64,1193,1808,112,2029,-6,132,976,415,2763,-662,-57,11,0
-3094,-805,1715,3258,61,2784,-903,-184,1307,2616,-497,-1909,-736,-425,934,-79,-2287,-654,1783,-4059,1
1002,25,457,1512,218,1051,117,-81,-69,-1106,641,-2163,376,-1684,-1679,-332,-3713,-1386,-5332,-992,1
57,-418,3379,-518,-35,-3029,3961,-1279,-1293,-1045,-88,1056,-1337,1494,223,3354,1708,1882,1673,-95,1
-2581,1243,-39,-2292,2449,764,-53,1712,-857,17,321,2855,58,22,3442,203,626,-578,-563,-2036,1
-1274,-104,-1126,1521,-343,-73,533,-778,1075,1631,491,1884,-881,-802,-248,789,1609,-559,1139,-367,0
68,1726,414,2621,2018,3164,-228,222,538,-193,105,-1085,541,406,1126,6,43,602,-421,1244,0
-2969,3496,585,-2227,-1109,2377,366,-281,1525,583,328,-2681,-688,-282,-1268,1956,2284,3659,-922,-326,1
-182,1604,124,146,1722,-725,261,-342,804,-282,-26,-861,747,-347,411,1963,714,661,1058,-1092,0
1114,356,-795,1551,-752,366,351,401,-298,2169,158,-104,-1656,1518,34,1962,127,1448,-1207,529,0
2178,-917,3577,1982,-1891,-344,-941,-102,945,-1358,-1634,1346,472,122,-3408,305,445,4139,-2098,2229,1
961,447,184,454,368,-254,138,644,177,1336,1042,921,-232,629,78,-306,-54,-34,1931,145,0
2508,13,1875,1026,2539,-902,124,-31,839,3482,1143,-1191,-502,2831,1804,-3043,-391,1232,81,-2783,1
-178,-253,-901,-709,141,-1716,908,867,1831,-1084,386,-129,-1089,-429,-749,936,-714,74,2431,171,0
2305,78,-633,1901,572,-314,167,-585,66,782,1458,258,-31,149,-1199,1584,-413,1147,92,624,0
803,-187,1264,894,-2647,765,508,1856,-544,2053,437,273,99,-386,-464,226,1446,195,704,14,0
76,953,-2756,-2867,-3852,-1086,2332,-65,-4876,-817,-646,-1082,-2099,8,-532,573,4186,144,-4865,-1481,1
376,-1412,-8,1685,-2915,-3805,725,389,-154,1028,609,783,-9,-1503,2136,1685,-1414,-228,-1226,-141,1
-1735,573,1585,-601,-25,3991,-1763,-777,189,6757,-62,-701,1155,2764,2922,-1288,11,3429,-331,-958,1
-439,1099,1848,-17,518,-186,-251,733,-986,-777,-794,-706,-1592,1673,-22,-526,-606,-2187,1532,403,0
1759,-252,236,306,2175,-473,-298,239,-1356,2858,-738,2305,-2791,847,1406,1767,-1465,-2135,-3301,1466,1
-1377,1234,324,-523,-2135,1168,922,1044,605,-994,-203,1322,-465,-659,-2648,-1636,-38,1248,-28,-88,1
-308,-816,-995,1332,-1421,1494,1222,513,-125,43,-1041,386,3066,457,1064,588,1359,2348,88,-75,0
1388,-2983,492,484,1584,-6946,-1103,-902,-279,-1517,2926,-683,-3992,-1429,3039,887,-3,579,-447,-403,1
-434,-2505,-8,1153,3162,341,-999,-1392,-501,-545,1178,136,825,703,-1614,1913,-159,1298,-129,1584,1
445,2243,-1481,147,-156,-1982,2129,694,96,118,-4108,599,3166,-49,3244,755,1027,-3675,-1174,-1124,1
1415,104,-2501,-4288,2536,-1591,-47,-2356,69,1014,-1729,364,-2378,1137,-1448,-985,742,-813,658,-28,1
533,-196,269,65,-753,-58,264,11,-14,2364,316,14,-637,-2227,274,549,143,1966,82,-1215,0
463,506,-246,1002,-1783,427,1548,1969,863,719,172,813,508,1833,-1649,1266,611,108,1033,235,0
584,1884,424,124,1399,969,2194,-456,247,697,637,-22,155,14,-1311,-1199,-303,1182,1408,-51,0
2079,-3078,1964,1471,-1937,-144,1027,-692,1322,-629,-616,228,1962,482,1743,393,3713,712,1361,-411,1
-299,284,3498,199,-3398,2708,-348,182,-1305,-2335,-2679,-552,2984,-633,-1936,2001,84,1152,741,915,1
-1618,1428,3865,-1351,2631,3825,-2238,-1808,-1025,-1104,3014,-1108,-146,-143,-538,53,-115,-2023,3029,595,1
2238,-4209,2383,-3229,529,-1176,3935,-6882,3205,703,-843,-1442,-2533,165,1,-119,-747,-985,-969,-1306,1
2902,1533,1017,423,-109,197,54,188,-709,1554,1887,52,-748,1783,87,828,1345,-4,-799,-953,0
-1045,-268,2917,-789,-237,-697,-949,-2097,-1665,1824,1537,1089,4149,3568,442,-852,-987,-2197,653,-125,1
843,2278,784,-1176,157,619,-215,2702,342,1956,834,-941,-3323,238,-321,458,-1211,-1593,-858,-135,1
295,-3806,-1561,679,4,-1664,-1688,2716,-1058,1992,-184,856,-411,877,4354,-118,2838,1173,-1722,1669,1
-329,96,-1466,-157,-809,-1069,2575,655,-107,72,1483,-653,1094,1694,-42,-1113,17,1564,1106,294,0
-828,36,-739,-112,2092,4742,-1392,-3805,958,-62,-1032,1084,17,-1729,3463,348,-1097,302,-2105,-2386,1
-86,995,-1308,1372,-553,-2823,507,-3168,-576,-141,-14,3193,-1436,0,-2266,4069,452,-3599,906,-256,1
-58,-4084,2673,2853,1678,29,-1536,-261,808,-1586,-2442,2158,1284,-415,1014,-171,513,-258,-1788,-705,1
417,-151,-1302,-207,1787,1553,212,-374,-415,-51,42,1128,-512,638,857,-12,1059,776,1931,-522,0
-28,-79,2397,136,348,422,-1774,797,1156,1814,56,-529,903,592,1001,962,-822,918,-108,1855,0
1354,-898,1999,-2152,-1781,-6325,4025,-1847,-2768,842,-143,-3813,-1644,436,602,-39,-1558,-2177,-4448,741,1
208,946,634,596,-982,1772,847,-493,1618,104,-579,297,-8,1648,664,913,238,-1073,32,18,0
-487,1263,-666,-257,-97,792,1447,-36,748,181,-113,-85,2539,253,536,1518,429,2419,1973,4,0
1785,1398,54,-1128,656,168,377,-36,891,-548,1216,2371,2044,792,-202,1195,693,71,1444,66,0
1054,1487,1381,241,1298,1946,-237,588,-816,717,198,1684,839,1714,-1628,185,-96,1183,954,-1938,0
-2782,3217,-1741,3401,1415,-3585,-2626,1105,-2116,-4736,449,38,53,-116,72,24,1842,-929,1846,2601,1
611,-5379,-735,55,13,-1857,917,-813,2156,2214,468,1466,-3329,2457,4587,-1118,792,-3052,-1118,-1275,1
2225,1184,-34,-3674,-567,-477,-1283,2381,1559,94,286,15,-2112,1593,-668,-203,-2466,922,-913,1138,1
-207,-163,39,2712,-1,345,-2723,524,-21,-1243,125,-316,45,1337,2614,-906,-1914,3215,2153,239,1
625,233,-682,808,-68,1169,74,707,2453,1051,1451,742,-14,-69,2863,-1112,6,663,369,595,0
-1737,2847,-3092,1443,-1256,2997,-515,1061,-1,-4099,1068,-2098,794,-473,1642,2063,3242,-1675,299,1508,1
76,-1109,-765,914,3887,2654,-381,5988,-15,4433,-3861,-1994,184,-3114,-1223,-1009,585,802,-84,1302,1
-5,1438,138,505,57,-359,-1132,1099,24,1267,-317,458,1902,-393,-866,218,-1032,3017,-26,67,0
2521,357,-13,1429,-4381,1114,-3066,636,-1392,2966,791,-938,-1584,1705,-4006,-1815,-2805,2314,-2423,499,1
-432,1844,1366,278,104,945,-81,1174,773,74,1549,864,-853,111,2242,1615,-421,-525,-974,973,0
-767,1492,-2227,-2065,1602,-441,3068,319,1292,1548,308,449,-27,344,-308,1571,499,-506,59,1059,1
-698,169,-2822,2,-1452,2002,-3677,141,124,1422,-2264,-1421,-206,-2081,3193,1592,-557,-218,1486,442,1
699,1109,2602,-462,-936,39,1198,243,573,-1568,1804,-664,-1043,-15,1646,118,1368,1037,-285,-1348,0
-488,-201,-863,-1704,2205,-1609,616,-1654,1584,2289,-83,1786,-94,-91,2348,-1491,271,2104,-204,2539,1
745,1443,-712,1353,-165,117,566,147,202,1341,1016,547,-2436,546,873,884,-1761,198,143,86,0
-301,1492,-1445,-196,4197,261,-897,972,-672,4408,2494,1915,-4885,4249,-2635,1444,-439,-1044,84,-1401,1
2102,-1433,2723,124,-2235,2481,1676,482,168,519,-1282,386,122,1035,-682,85,-765,1223,-671,94,1
-941,938,4273,78,107,-361,-3107,675,559,-168,-1201,1622,-609,-152,-1777,2528,-803,-3297,-453,-1553,1
123,-728,653,-361,601,-93,-1271,874,-2119,-498,108,-1307,199,-622,626,-261,-539,632,-858,216,0
84,851,1589,898,-729,45,119,2827,-1595,618,746,-64,1979,-59,795,335,436,242,-2337,-1177,0
-3767,452,3343,659,-449,-919,476,-162,219,212,1524,-1728,-2074,-2765,415,-2236,-1536,-3252,-1873,-192,1
-2166,-2341,-264,276,553,-1462,-1044,-2201,2549,54,27,3212,-847,-1041,-1842,-4317,4506,-469,561,-1672,1
2805,-915,499,-807,1168,384,512,428,-1379,1049,-633,-1389,102,346,2102,-613,-1067,1123,297,-41,0
-237,-1495,2658,2689,2152,1815,-357,-179,-515,-3075,1446,-442,-1223,-1226,-2619,-163,1342,-2175,3162,-701,1
1105,-532,2587,1104,-178,194,416,658,-447,479,-796,-22,2136,-221,1211,-462,2395,-485,1884,944,0
2,-687,-3832,-4259,-1497,836,3281,2272,-1056,-412,2275,86,-2463,3664,909,909,2428,1057,4642,-3861,1
1702,2027,148,1136,1598,539,1441,1083,276,1263,-496,1359,1328,-399,562,378,1268,-794,128,32,0
-673,-1991,64,-155,3011,-327,-1255,488,-2303,-2267,-183,-1748,-1116,-1078,-2913,3607,-844,-3075,-2078,2022,1
-55,-355,-267,1495,1475,33,438,-317,-252,1254,822,314,1851,1075,-132,1974,1322,-913,-77,576,0
-21,738,1704,1476,348,-1199,1556,301,1636,1183,664,163,203,-424,118,1753,-124,-308,443,1581,0
88,1073,-1036,2021,2607,852,348,444,61,256,-153,1341,3631,68,-3291,-154,962,-1316,3393,641,1
2548,4091,-877,246,339,-2874,-1792,1191,-1,51,42,1323,-5,1228,-3917,1547,-909,-438,-1463,1324,1
-272,-1285,85,-215,549,3201,286,1816,774,-1889,-3524,-2506,-736,1254,-2342,148,2787,1096,786,-1413,1
-26,936,-214,1488,1531,1407,58,-516,1487,786,1194,1739,874,-695,602,1372,927,41,-498,-357,0
-784,1112,441,-3133,-856,-1113,676,-1679,37,732,2184,-2737,182,76,-2832,28,1726,-1359,1825,72,1
437,308,1941,-18,918,1009,1341,931,1927,777,551,1295,-238,1758,1236,815,-406,1568,785,722,0
-3083,2895,-896,545,-142,1835,1815,1521,-189,-266,-3204,1064,4786,2225,-678,-148,162,1596,-2681,-144,1
2478,-1983,-2433,-417,1553,3519,1698,3932,-1916,622,4441,407,1416,-892,1322,-3064,-2073,-658,-2653,553,1
1567,-1166,-2226,3559,175,3309,-924,-2072,145,-1618,-538,888,2724,3195,-1925,-1361,1258,-1499,4141,1229,1
1776,992,1797,-316,2223,-527,1261,-105,172,-111,2546,78,-1998,335,2857,9,1256,598,-277,-872,0
2463,296,-116,881,702,668,1296,2232,-573,2026,58,39,1743,1329,-479,-58,-221,23,-213,-728,0
-31,134,-279,63,-1561,-724,22,433,-241,143,-88,92,-953,-56,138,23,-77,597,-774,932,0
3093,-746,-1711,553,756,269,1116,664,-2044,-2586,-36,1748,-6,2457,2425,2128,-1132,1485,1592,2476,1
1508,2296,-453,1183,313,-504,-869,846,-78,85,894,-417,923,729,-9,403,254,-392,749,1939,0
646,787,1695,984,216,491,-444,-466,-32,-1099,602,1732,805,5,1677,27,1318,359,-11,1447,0
-117,2611,-4025,-304,2208,-725,2013,-3246,126,-773,-2229,-1333,634,-107,-4,-889,3672,-222,-451,458,1
194,236,2827,1512,1171,15,-267,757,-2804,563,-484,727,-479,-632,1903,1748,2469,-1292,742,757,0
-239,953,7,46,-168,-1978,-266,-1302,449,-1305,-429,-2064,1683,-852,-865,239,848,268,-1398,-1219,1
1769,1871,8,-595,436,536,988,41,1104,1639,915,735,-281,1465,249,-94,-21,433,1624,1049,0
547,2814,2299,-356,469,2838,-121,-2599,22,-2192,-596,-18,1026,2316,1414,2734,709,322,-2163,1791,1
922,799,1931,-1862,-1244,-353,-244,85,-2357,-26,4359,-2837,2318,-816,9,-281,-2397,-1962,4156,-525,1
-101,2198,1803,-6,-1434,-5007,504,582,1139,666,4942,-65,-472,-1104,1616,-1048,-19,3316,208,1333,1
-1352,1479,2183,-581,1756,58,-2531,105,-2532,-289,-414,2854,69,136,724,994,-642,1071,-24,-2292,1
-3014,-1071,1383,3307,-1337,-651,-1019,37,2338,-771,527,-2063,126,1417,1756,-413,1671,-2025,-1297,641,1
1322,-1579,991,-1299,93,-1014,1425,-1457,-458,511,-99,-2806,-1813,942,2042,-414,-1968,-1796,-4245,348,1
2487,2423,5092,862,2587,-231,22,4524,-358,-255,2548,-3028,1209,-2023,2261,-2718,-51,-1667,-616,657,1
116,1655,633,203,429,1777,1356,974,2015,-466,348,-44,1227,1761,-294,1772,498,1608,-36,347,0
238,958,56,-1466,1774,172,3099,975,1671,1068,-2708,2537,-143,-1136,511,991,-4285,-2267,2424,1476,1
2191,68,452,52,916,1555,736,-132,1967,-2404,1067,1136,1705,203,-542,547,-1279,589,-1062,-896,0
1831,859,-1141,1599,-116,187,1142,-1864,207,661,-562,2467,-944,-1015,-1836,3403,-716,2033,-1259,717,1
794,1297,-1393,-386,399,225,2625,-2075,1646,-2206,3146,-951,-1681,-63,-1111,2855,581,2541,2004,802,1
1493,95,889,75,2079,829,1067,1369,-2,-62,478,1192,1027,767,-1536,-225,-208,156,-346,-232,0
1524,1154,1488,-46,464,-466,932,202,-428,1494,-536,585,476,-1149,-765,427,1051,2984,2392,473,0
-195,1417,925,-1041,392,1674,215,-1177,223,134,-414,463,-24,194,1735,1498,678,1633,87,504,0
1137,-1392,975,1523,2022,405,-33,1975,243,1125,-84,56,-155,1262,646,2259,883,51,-664,-477,0
1305,204,-394,953,222,-1443,5,1049,1833,-1816,2768,-928,-195,1521,3833,-193,1984,33,-2919,-553,1
-798,-208,1515,774,84,-1832,75,-13,88,84,1059,-1273,469,-18,76,1512,-587,1411,-59,-392,0
246,-213,-263,39,177,104,787,1187,981,-129,17,1198,-112,713,1745,534,278,591,2235,944,0
163,1274,-783,877,-258,-2,142,1241,284,-786,66,801,-181,-209,676,851,1627,182,-418,35,0
-723,2776,85,889,1126,1388,72,1731,322,-231,672,818,144,18,524,-955,-645,-36,502,338,0
976,1201,24,-166,-2066,771,-43,921,1858,2612,39,326,-799,675,1597,1602,-1352,251,64,319,0
594,-1387,1273,-357,325,993,2482,1442,551,233,2321,-1787,-794,-691,1218,-986,-3408,-1817,1953,-2127,1
1156,2322,943,1979,-2543,1571,-1818,544,-2017,802,-276,-3033,792,-155,-1028,1662,1324,-365,5,-2022,1
2515,1205,2993,-2723,-336,987,4325,-1762,-3298,-3738,23,1134,-537,474,-1271,1877,-827,-42,1425,-704,1
2738,-3307,1495,-196,-2705,-1033,2111,-641,-747,2956,-2681,-738,462,3124,1192,1656,686,578,-44,-1034,1
1346,-2031,-28,-1583,-196,838,2186,87,-1239,2382,602,199,1248,2238,1592,208,1133,1138,3141,-537,1
214,-877,-863,-281,674,3334,-1598,-343,-122,1544,-26,-2617,-341,548,-69,3324,101,1274,445,-199,1
407,1435,1311,884,58,133,646,1756,397,1119,-18,482,1268,147,2523,-1194,-402,-1254,607,642,0
-88,602,-816,519,-2152,2753,397,417,2334,-27,157,1276,-23,1542,7,1309,209,-93,621,16,0
1318,455,-1,586,888,-1022,1856,-2282,-871,-1963,479,2587,109,926,1893,1049,-1187,2521,-614,-928,1
144,-263,783,-834,1,35,-346,-408,165,-219,1171,1539,-513,1908,172,113,118,1664,467,1665,0
-245,-47,136,284,1306,-3326,779,-1206,2679,-103,2729,-2588,-2047,1093,-604,21,131,-1277,1526,161,1
372,46,2166,4064,-4732,78,-586,-2949,412,2428,1895,-329,-133,2778,-2614,1966,1198,551,483,-601,1
5365,445,434,-2042,-3362,-3124,2602,821,-1506,-2126,-1008,-1354,1732,1282,-1039,1665,1601,-4508,-2473,-864,1
2359,-1553,-1316,-2537,-1616,-659,-1041,-124,-2041,-17,1091,-2351,673,-449,1396,3,448,-817,-2703,4013,1
841,775,1752,277,766,-2272,-1004,494,-231,286,4964,-589,-1081,-127,1961,-4557,2371,1591,1004,383,1
503,1211,1079,1022,-302,2038,-241,-481,843,563,-71,-304,113,-292,-467,1001,247,-26,2167,498,0
222,-618,-1533,229,1423,74,-1286,1222,-935,-464,1641,172,-33,-537,-222,-111,174,-1065,1439,896,0
314,-2019,-5022,73,2043,-1346,-1517,-3797,-1913,1949,-1527,3702,639,2033,291,-4046,-3761,-5148,1349,-1783,1
139,952,1463,953,2396,-1446,1503,1231,115,626,-2422,-939,-996,-1597,2935,-2751,-1149,1244,4534,-2469,1
-506,-933,503,769,-1264,1364,1386,-684,-522,73,2513,222,-592,1046,1068,-144,1031,785,2555,2743,0
215,6921,-1384,-277,-702,4684,3412,889,-1962,-894,-2433,-585,-2388,1484,2389,268,1084,3094,498,1332,1
15,-142,605,1367,-169,1563,2465,928,491,1149,462,1342,3271,841,919,-702,-166,2749,-135,-578,0
1536,2966,-2473,-458,-655,3138,3784,-1214,472,2501,1089,-1748,1695,283,3042,-3322,-1518,-298,1906,-658,1
-437,1061,-742,996,57,646,829,1926,1355,-307,-29,413,2271,463,1383,792,1119,712,1343,1178,0
-902,574,-801,-2373,999,1479,-2334,-518,-23,1674,-606,-58,1416,2256,-26,-742,28,-97,-4021,-278,1
-4274,-863,-175,913,228,3243,-2168,82,-94,3763,-3244,931,1226,397,-917,1928,-829,-3484,731,-385,1
-3313,134,-19,-1473,-13,-1411,935,-98,1882,2207,1313,761,-1957,-986,1734,3562,2673,-562,-824,-1995,1
407,-527,718,2062,-231,1807,-9,3122,1725,149,-25,918,616,1039,-9,-473,98,5,535,2078,0
2143,-1194,-1714,-153,-582,-565,-1912,218,-464,442,276,-697,-22,-2353,-602,654,1897,366,-472,-1578,1
-1387,1132,657,-253,-432,2301,-1043,3058,-642,-28,-2053,-973,68,364,1396,1726,1591,-2403,1194,-332,1
1654,1779,-567,1254,-1274,-682,1712,-437,-742,53,-1007,407,-1,1467,328,53,-35,-491,308,-619,0
57,46,-1263,2891,1145,349,628,214,757,843,-612,-937,803,-65,1016,339,-79,-348,-1909,-2223,0
-1605,1071,426,2133,-1848,-2165,2312,139,1168,-1161,323,2737,1779,3826,-3415,387,-705,785,3098,1109,1
924,-1345,-1219,242,542,1264,362,-51,705,-224,226,1534,-99,-1158,194,544,1269,-33,1393,854,0
498,3779,1975,-2256,-1812,-3227,665,1145,-28,166,-638,-164,-2971,2816,-827,-3122,0,-1304,3612,-1493,1
913,146,1865,954,-1497,29,506,1492,1631,1298,1064,-724,902,466,611,1558,513,-1055,668,709,0
1905,4402,-1754,-387,708,51,-939,-921,1283,-1769,533,1926,2669,48,1236,-11,386,-2489,3848,-1763,1
1978,4589,-2822,243,-369,-44,3202,1787,131,-326,-2642,2202,-1506,-1572,1689,-4201,-2269,2215,4633,822,1
-654,2103,974,32,-551,-664,-2,1009,801,985,1268,54,-264,-1995,1354,105,29,933,653,-1956,0
-2281,3153,-3433,1284,581,-7,843,-1778,-2103,822,-65,65,1065,368,4322,-1527,-2001,323,-1212,-2419,1
686,-1912,-114,-678,1202,-1767,2868,409,53,2023,-163,643,1147,-419,-3224,1643,318,891,-579,-242,1
-383,-619,-1369,-3235,1328,-1099,1482,-1399,-4187,1224,-3712,2308,588,68,-207,-2263,-139,225,116,-673,1
405,1277,28,2608,1709,53,-462,1355,631,681,564,1798,-1088,-1077,125,1127,1215,1874,3163,2023,0
-729,242,-1263,-1039,1332,1926,2608,619,374,1962,-703,2175,12,-596,2072,641,736,41,168,1348,0
58,1,1273,-972,655,459,2221,108,-756,771,-365,953,394,1977,-74,21,-541,1753,632,-824,0
-89,-84,96,-62,637,2226,1647,98,1074,362,-66,422,864,-1337,786,2127,884,-413,-863,761,0
-612,93,1043,-8,1044,-89,1936,-272,29,1712,-1011,-389,63,-4,1182,431,1178,7,-27,-635,0
2074,-752,-3846,2898,-504,2092,2175,-2311,2148,1674,2252,-351,-1155,496,55,1355,108,29,1013,-1218,1
1711,-2829,314,612,-1132,3534,-352,354,2303,247,-4178,-556,1561,987,535,-1195,-672,2247,-5342,-1189,1
2345,348,29,534,1,11,2479,372,72,-35,-213,2139,348,105,395,1098,-421,497,-19,-518,0
-891,1014,-514,-652,-1222,48,-602,89,82,2637,759,-215,-38,534,1542,1006,705,339,-1,3075,0
-842,-32,539,-1171,1988,1916,-155,167,298,14,1223,76,1,548,818,537,-462,-2096,-365,-991,0
349,82,1279,1631,-144,-47,3032,314,412,-147,-566,2524,246,-17,-74,872,-1008,-24,331,-368,0
-576,-3342,1429,-2451,1052,2225,1173,-1535,545,-145,-1168,217,46,-53,-272,-253,1848,2419,879,1787,1
167,27,3644,-99,2344,-238,2086,822,-1265,1253,1018,474,2179,-107,-1319,1923,2209,108,301,916,0
386,136,-129,-851,1496,-261,-36,589,1522,315,125,361,-273,34,-465,-471,-102,-36,522,1005,0
-305,1266,1198,958,416,-172,165,2177,2241,-426,-1,-193,-2115,104,564,-111,249,86,1092,-418,0
-3845,-2567,1888,3271,863,2873,1278,-41,-1898,763,-378,-2027,-1157,-22,-84,-1174,255,-3529,4546,-2395,1
39,1148,1076,-1615,-576,1988,-778,425,476,-286,616,1832,-271,175,1982,374,-1318,99,869,929,0
3436,3958,1572,938,-687,259,1646,986,-289,1114,-3029,-2339,-1915,228,-792,-221,2264,-2733,-664,-256,1
106,1515,878,-753,-136,2452,715,-1137,135,222,388,1242,1231,-1022,-377,-641,-871,1058,-2,1194,0
-1422,-415,454,2086,2722,-5,-1955,-153,-1284,1691,-83,-1155,2236,41,28,237,2811,1584,86,-45,0
-38,-3369,-3057,1859,23,3677,-771,-16,-2403,-2489,199,-287,1122,1676,2862,1887,2736,236,399,-551,1
-316,24,186,-2622,-1077,1015,1991,-1853,-1695,-2144,1043,28,-947,676,-3636,-32,-2971,-306,-1514,142,1
1263,2132,-1236,1203,-1804,-147,803,-259,2204,-581,-228,241,116,1486,-1416,-89,262,875,136,817,0
1081,-328,264,-1067,1024,1886,-196,3848,2475,-289,-12,-75,413,-1774,-245,1347,-306,-58,816,1425,1
984,-1912,116,-194,-1698,-1355,2093,-1384,925,-1237,1379,2364,-76,-1162,2318,3027,-553,2297,-1482,-182,1
1766,1619,38,3369,-5,-1625,398,536,-37,1064,1451,1392,1805,44,953,-362,-679,-18,146,82,0
332,1144,268,1206,2004,888,-437,-939,-1343,679,-876,1192,524,1201,797,-62,9,187,5,1384,0
-389,768,559,593,1796,-928,974,-1761,139,176,519,-333,744,1264,36,1134,-377,-1422,-117,987,0
1872,1732,-688,556,2634,1425,899,304,-548,2069,813,488,165,177,724,1854,-342,2282,-1677,576,0
1481,2128,1074,-858,-5019,2639,4337,-347,-1003,-139,-954,-57,-656,-446,-1931,459,-2378,898,-2496,1906,1
654,-869,2263,-63,2564,-531,513,-58,156,125,-1857,-1413,683,1084,1789,-151,974,2117,-1297,-916,0
-122,94,258,-102,1413,239,-528,-446,-46,-26,1057,-296,-382,681,1398,-2513,516,-1436,-959,1211,0
-1263,21,716,-85,-1119,-2655,-25,1577,-2333,1529,342,117,6397,-507,-1653,3716,1376,-1356,-315,-1389,1
1417,-1228,1399,515,257,794,281,-1128,-181,675,341,-426,301,1472,1379,-25,-201,2508,3058,-1602,0
-23,-72,-284,-378,179,52,-497,-707,2329,279,968,1345,1163,-98,38,2216,1081,1982,2181,1351,0
-265,-249,-1427,-432,2627,147,-1105,-1097,-1213,-3824,5,2148,601,1093,254,-2757,3957,-33,-294,-2145,1
488,-628,543,138,-26,85,1859,-182,352,-2351,99,2113,1803,-9,61,-853,961,-1131,-1365,-1496,0
1552,3106,-701,-383,39,-2637,972,-807,-3211,2403,-1881,3841,-2852,591,-1311,-2086,1536,-2556,-29,-1178,1
-1994,1932,-737,2233,-1616,1318,65,142,-1694,406,-347,-118,548,598,424,1445,2058,-23,1288,-385,0
-835,1253,59,86,406,6,1081,-455,264,-414,871,262,323,-74,951,-394,1198,-47,1635,85,0
