height,lenght,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,class
5,3,15,0.6,0.467,1.0,7.0,7,15,1,1
6,7,42,1.167,0.476,0.976,2.22,20,41,9,1
8,24,192,3.0,0.318,0.688,2.65,61,132,23,1
8,69,552,8.625,0.205,0.826,1.38,113,456,82,1
7,6,42,0.857,0.333,0.762,4.67,14,32,3,1
5,13,65,2.6,0.246,0.831,1.33,16,54,12,1
5,110,550,22.0,0.547,0.556,100.33,301,306,3,2
8,30,240,3.75,0.354,0.75,2.02,85,180,42,1
39,1,39,0.026,1.0,1.0,39.0,39,39,1,4
8,12,96,1.5,0.469,1.0,1.61,45,96,28,1
9,86,774,9.556,0.394,0.705,2.85,305,546,107,1
11,48,528,4.364,0.237,0.39,7.35,125,206,17,5
8,33,264,4.125,0.39,0.973,1.72,103,257,60,1
9,35,315,3.889,0.263,0.667,2.86,83,210,29,1
10,20,200,2.0,0.4,0.605,3.48,80,121,23,1
14,340,4760,24.286,0.344,0.563,4.6,1636,2682,356,1
9,18,162,2.0,0.321,0.654,2.26,52,106,23,1
2,236,472,118.0,0.566,0.689,10.27,267,325,26,2
8,24,192,3.0,0.297,0.865,1.84,57,166,31,1
1,11,11,11.0,1.0,1.0,11.0,11,11,1,2
1,17,17,17.0,0.765,1.0,6.5,13,17,2,2
9,27,243,3.0,0.358,0.856,1.85,87,208,47,1
8,82,656,10.25,0.402,0.991,2.1,264,650,126,1
7,11,77,1.571,0.312,0.987,1.2,24,76,20,1
7,9,63,1.286,0.317,0.81,1.54,20,51,13,1
8,8,64,1.0,0.359,0.766,1.64,23,49,14,1
10,238,2380,23.8,0.353,0.727,2.85,840,1730,295,1
8,229,1832,28.625,0.168,0.484,1.57,308,887,196,1
8,27,216,3.375,0.435,0.963,2.14,94,208,44,1
4,4,16,1.0,0.563,0.938,4.5,9,15,2,1
21,106,2226,5.048,0.136,0.396,1.99,302,881,152,1
9,86,774,9.556,0.211,0.517,1.29,163,400,126,1
24,107,2568,4.458,0.908,0.982,16.91,2333,2523,138,1
10,116,1160,11.6,0.246,0.759,1.6,285,881,178,1
7,135,945,19.286,0.156,0.753,1.23,147,712,120,1
6,326,1956,54.333,0.213,0.716,1.29,416,1400,323,1
8,12,96,1.5,0.417,0.927,1.74,40,89,23,1
14,12,168,0.857,0.661,0.851,9.25,111,143,12,1
3,104,312,34.667,0.606,0.683,9.95,189,213,19,1
9,534,4806,59.333,0.169,0.667,1.34,811,3208,607,1
7,31,217,4.429,0.461,0.922,2.13,100,200,47,1
1,40,40,40.0,0.4,1.0,1.07,16,40,15,1
12,69,828,5.75,0.4,0.74,3.48,331,613,95,1
9,84,756,9.333,0.407,0.878,2.75,308,664,112,1
9,166,1494,18.444,0.386,0.75,2.95,576,1121,195,1
1,13,13,13.0,0.846,1.0,5.5,11,13,2,2
5,35,175,7.0,0.2,0.829,4.38,35,145,8,1
13,38,494,2.923,0.314,0.957,3.6,155,473,43,1
8,15,120,1.875,0.3,0.642,1.57,36,77,23,1
8,33,264,4.125,0.371,0.795,1.92,98,210,51,1
9,23,207,2.556,0.304,1.0,1.62,63,207,39,1
9,83,747,9.222,0.376,0.687,2.49,281,513,113,1
10,17,170,1.7,0.382,1.0,2.41,65,170,27,1
7,4,28,0.571,0.321,1.0,3.0,9,28,3,1
7,23,161,3.286,0.447,0.764,1.89,72,123,38,1
9,111,999,12.333,0.184,0.771,1.6,184,770,115,1
9,127,1143,14.111,0.213,0.679,1.58,243,776,154,1
9,36,324,4.0,0.506,0.91,2.93,164,295,56,1
9,8,72,0.889,0.722,0.792,13.0,52,57,4,1
9,76,684,8.444,0.358,0.795,2.19,245,544,112,1
8,107,856,13.375,0.381,0.77,2.4,326,659,136,1
168,135,22680,0.804,0.82,0.904,62.81,18591,20513,296,3
1,22,22,22.0,0.955,1.0,21.0,21,22,1,2
7,6,42,0.857,0.381,1.0,2.29,16,42,7,1
8,39,312,4.875,0.369,0.99,2.05,115,309,56,1
7,109,763,15.571,0.283,0.543,1.93,216,414,112,1
10,21,210,2.1,0.324,0.6,3.4,68,126,20,1
13,104,1352,8.0,0.198,0.639,3.44,268,864,78,1
8,75,600,9.375,0.228,0.662,1.37,137,397,100,1
5,6,30,1.2,0.3,1.0,1.8,9,30,5,1
10,27,270,2.7,0.3,0.644,1.98,81,174,41,1
10,51,510,5.1,0.306,0.855,2.29,156,436,68,1
11,8,88,0.727,0.693,0.989,10.17,61,87,6,1
12,43,516,3.583,0.31,0.793,2.32,160,409,69,1
11,89,979,8.091,0.17,0.706,2.72,166,691,61,1
7,96,672,13.714,0.271,0.688,1.54,182,462,118,1
11,15,165,1.364,0.352,0.891,2.07,58,147,28,1
8,24,192,3.0,0.385,0.969,1.8,74,186,41,1
5,95,475,19.0,0.255,0.787,1.73,121,374,70,1
8,272,2176,34.0,0.189,0.688,1.32,411,1497,311,1
10,89,890,8.9,0.252,0.496,3.25,224,441,69,1
8,83,664,10.375,0.325,0.908,1.76,216,603,123,1
6,100,600,16.667,0.342,0.822,1.71,205,493,120,1
8,242,1936,30.25,0.128,0.574,1.27,247,1111,195,1
8,107,856,13.375,0.363,0.734,2.24,311,628,139,1
6,5,30,0.833,0.367,1.0,2.2,11,30,5,5
11,9,99,0.818,0.465,0.768,3.83,46,76,12,1
7,71,497,10.143,0.231,0.757,1.37,115,376,84,1
11,90,990,8.182,0.362,0.808,2.82,358,800,127,1
3,3,9,1.0,0.889,0.889,8.0,8,8,1,1
6,6,36,1.0,0.194,0.417,3.5,7,15,2,5
6,13,78,2.167,0.128,0.577,1.67,10,45,6,1
8,98,784,12.25,0.221,0.874,1.42,173,685,122,1
10,28,280,2.8,0.343,0.975,2.13,96,273,45,1
8,18,144,2.25,0.424,0.889,2.03,61,128,30,1
8,70,560,8.75,0.279,0.727,1.68,156,407,93,1
7,46,322,6.571,0.304,0.963,2.58,98,310,38,1
8,15,120,1.875,0.475,0.992,2.59,57,119,22,1
163,161,26243,0.988,0.523,0.897,8.4,13725,23547,1634,3
8,183,1464,22.875,0.288,0.664,2.08,421,972,202,1
8,48,384,6.0,0.302,0.914,1.76,116,351,66,1
1,77,77,77.0,0.403,1.0,5.17,31,77,6,2
9,32,288,3.556,0.382,0.792,2.16,110,228,51,1
6,17,102,2.833,0.314,0.686,2.29,32,70,14,1
9,95,855,10.556,0.285,0.723,2.1,244,618,116,1
5,18,90,3.6,0.467,0.867,1.91,42,78,22,1
7,19,133,2.714,0.346,1.0,1.44,46,133,32,1
14,203,2842,14.5,0.362,0.67,4.36,1028,1904,236,1
8,83,664,10.375,0.393,0.7,2.42,261,465,108,1
5,29,145,5.8,0.317,0.952,1.39,46,138,33,1
1,7,7,7.0,1.0,1.0,7.0,7,7,1,2
11,71,781,6.455,0.461,0.659,5.54,360,515,65,1
7,31,217,4.429,0.295,0.857,1.64,64,186,39,1
9,39,351,4.333,0.293,0.937,2.06,103,329,50,1
7,11,77,1.571,0.325,0.935,1.39,25,72,18,1
7,105,735,15.0,0.256,0.705,1.69,188,518,111,1
7,28,196,4.0,0.286,0.781,1.56,56,153,36,1
7,62,434,8.857,0.189,0.756,1.28,82,328,64,1
8,25,200,3.125,0.355,0.88,1.73,71,176,41,1
8,23,184,2.875,0.38,0.989,1.75,70,182,40,1
5,11,55,2.2,0.309,0.836,1.7,17,46,10,1
4,19,76,4.75,0.276,0.382,5.25,21,29,4,2
7,23,161,3.286,0.298,0.876,1.45,48,141,33,1
7,32,224,4.571,0.272,0.862,1.53,61,193,40,1
10,23,230,2.3,0.313,0.891,2.4,72,205,30,1
9,109,981,12.111,0.219,0.774,1.69,215,759,127,1
12,84,1008,7.0,0.282,0.778,1.91,284,784,149,1
10,125,1250,12.5,0.456,0.862,2.92,570,1078,195,1
9,49,441,5.444,0.594,0.998,3.05,262,440,86,1
8,14,112,1.75,0.509,0.768,3.0,57,86,19,1
7,75,525,10.714,0.661,0.907,5.51,347,476,63,1
9,126,1134,14.0,0.484,0.953,2.83,549,1081,194,1
5,33,165,6.6,0.315,0.909,1.27,52,150,41,1
9,270,2430,30.0,0.111,0.495,1.27,270,1204,213,1
9,45,405,5.0,0.447,0.896,3.23,181,363,56,1
11,240,2640,21.818,0.27,0.634,2.05,714,1674,348,1
18,79,1422,4.389,0.257,0.616,3.17,365,876,115,1
11,8,88,0.727,0.25,1.0,2.44,22,88,9,1
8,43,344,5.375,0.398,0.945,1.69,137,325,81,1
1,46,46,46.0,0.783,1.0,12.0,36,46,3,2
11,252,2772,22.909,0.092,0.095,63.75,255,262,4,2
9,148,1332,16.444,0.198,0.77,1.33,264,1025,198,1
8,9,72,1.125,0.375,0.736,2.45,27,53,11,1
7,23,161,3.286,0.373,0.851,1.71,60,137,35,1
7,31,217,4.429,0.396,0.862,2.1,86,187,41,1
8,33,264,4.125,0.424,0.867,2.24,112,229,50,1
5,18,90,3.6,0.4,0.811,1.64,36,73,22,1
10,59,590,5.9,0.403,0.792,2.98,238,467,80,1
9,534,4806,59.333,0.163,0.633,1.34,784,3043,585,1
8,108,864,13.5,0.293,0.897,1.69,253,775,150,1
6,16,96,2.667,0.354,1.0,1.48,34,96,23,1
9,99,891,11.0,0.461,0.906,2.65,411,807,155,1
6,13,78,2.167,0.346,0.577,3.38,27,45,8,1
7,7,49,1.0,0.388,0.939,1.9,19,46,10,1
7,10,70,1.429,0.314,1.0,1.29,22,70,17,1
5,14,70,2.8,0.257,0.814,3.6,18,57,5,1
8,16,128,2.0,0.398,0.828,2.68,51,106,19,1
9,82,738,9.111,0.337,0.817,2.01,249,603,124,1
9,535,4815,59.444,0.126,0.444,1.29,606,2136,469,1
7,14,98,2.0,0.316,0.776,2.21,31,76,14,1
9,82,738,9.111,0.389,0.92,2.33,287,679,123,1
7,13,91,1.857,0.791,0.978,6.0,72,89,12,1
7,31,217,4.429,0.304,0.843,1.32,66,183,50,1
8,45,360,5.625,0.156,0.725,1.87,56,261,30,1
7,140,980,20.0,0.253,0.886,1.49,248,868,167,1
9,39,351,4.333,0.308,0.709,1.69,108,249,64,1
9,132,1188,14.667,0.168,0.693,1.34,199,823,149,1
74,183,13542,2.473,0.544,0.612,127.0,7366,8289,58,1
5,14,70,2.8,0.386,0.857,1.69,27,60,16,1
6,69,414,11.5,0.28,0.744,1.4,116,308,83,1
8,19,152,2.375,0.184,0.849,1.47,28,129,19,1
3,3,9,1.0,0.778,0.778,7.0,7,7,1,1
4,137,548,34.25,0.173,0.622,3.28,95,341,29,1
9,19,171,2.111,0.55,0.86,7.23,94,147,13,1
8,398,3184,49.75,0.279,0.664,1.7,887,2113,521,1
10,28,280,2.8,0.293,0.8,2.0,82,224,41,1
7,19,133,2.714,0.398,0.88,1.83,53,117,29,1
4,4,16,1.0,0.438,0.438,7.0,7,7,1,1
10,121,1210,12.1,0.37,0.873,2.41,448,1056,186,1
9,35,315,3.889,0.33,0.835,2.0,104,263,52,1
1,8,8,8.0,1.0,1.0,8.0,8,8,1,2
10,30,300,3.0,0.307,0.94,1.96,92,282,47,1
39,353,13767,9.051,0.557,0.608,16.89,7667,8370,454,1
8,22,176,2.75,0.403,1.0,2.03,71,176,35,1
14,370,5180,26.429,0.175,0.648,1.64,907,3357,554,1
6,96,576,16.0,0.293,0.724,2.09,169,417,81,1
8,46,368,5.75,0.356,0.927,2.11,131,341,62,1
7,43,301,6.143,0.545,0.973,2.56,164,293,64,1
11,8,88,0.727,0.261,1.0,2.09,23,88,11,1
8,14,112,1.75,0.482,0.759,3.38,54,85,16,1
17,96,1632,5.647,0.366,0.675,5.15,597,1101,116,1
7,29,203,4.143,0.305,0.837,1.48,62,170,42,1
10,63,630,6.3,0.251,0.898,1.84,158,566,86,1
7,223,1561,31.857,0.205,0.664,1.4,320,1036,229,1
9,535,4815,59.444,0.118,0.482,1.31,566,2323,432,1
10,7,70,0.7,0.329,0.986,1.77,23,69,13,1
11,344,3784,31.273,0.446,0.712,4.71,1686,2694,358,1
7,7,49,1.0,0.286,1.0,1.27,14,49,11,1
8,43,344,5.375,0.398,0.939,2.4,137,323,57,1
12,8,96,0.667,0.792,1.0,15.2,76,96,5,1
9,343,3087,38.111,0.162,0.677,1.24,499,2091,401,1
9,103,927,11.444,0.383,0.825,2.75,355,765,129,1
8,10,80,1.25,0.35,1.0,2.0,28,80,14,1
7,98,686,14.0,0.254,0.608,1.53,174,417,114,1
3,3,9,1.0,0.889,1.0,8.0,8,9,1,1
8,10,80,1.25,0.438,0.988,1.94,35,79,18,1
12,39,468,3.25,0.282,0.487,4.0,132,228,33,1
5,23,115,4.6,0.452,0.913,1.79,52,105,29,1
1,104,104,104.0,0.192,1.0,1.05,20,104,19,1
8,110,880,13.75,0.23,0.872,1.66,202,767,122,1
7,24,168,3.429,0.28,0.607,1.38,47,102,34,1
1,147,147,147.0,0.864,1.0,11.55,127,147,11,2
6,97,582,16.167,0.235,0.703,1.71,137,409,80,1
8,133,1064,16.625,0.272,0.825,1.78,289,878,162,1
7,72,504,10.286,0.405,0.845,1.85,204,426,110,1
105,2,210,0.019,0.529,0.533,111.0,111,112,1,4
11,96,1056,8.727,0.331,0.954,4.32,350,1007,81,1
8,28,224,3.5,0.442,0.795,2.48,99,178,40,1
5,27,135,5.4,0.296,0.496,3.08,40,67,13,1
10,271,2710,27.1,0.173,0.557,1.47,469,1510,318,1
10,33,330,3.3,0.352,0.745,2.07,116,246,56,1
10,53,530,5.3,0.294,0.908,1.75,156,481,89,1
8,12,96,1.5,0.427,0.75,2.05,41,72,20,1
8,13,104,1.625,0.471,1.0,1.81,49,104,27,1
8,162,1296,20.25,0.327,0.79,2.85,424,1024,149,1
7,181,1267,25.857,0.316,0.758,1.65,400,961,242,1
13,228,2964,17.538,0.264,0.942,3.29,783,2791,238,1
12,43,516,3.583,0.293,0.791,2.29,151,408,66,1
8,53,424,6.625,0.337,0.889,1.64,143,377,87,1
8,113,904,14.125,0.21,0.759,1.41,190,686,135,1
9,175,1575,19.444,0.19,0.568,1.35,299,894,221,1
8,68,544,8.5,0.54,0.974,3.03,294,530,97,1
13,267,3471,20.538,0.401,0.662,4.87,1392,2299,286,1
7,12,84,1.714,0.369,0.857,1.55,31,72,20,1
5,5,25,1.0,0.4,0.56,5.0,10,14,2,1
11,15,165,1.364,0.358,0.752,2.19,59,124,27,1
8,12,96,1.5,0.385,0.896,1.68,37,86,22,1
8,12,96,1.5,0.406,0.885,2.17,39,85,18,1
13,121,1573,9.308,0.376,0.69,3.72,591,1086,159,1
26,170,4420,6.538,0.188,0.909,1.54,833,4017,542,1
8,15,120,1.875,0.375,0.85,1.88,45,102,24,1
14,18,252,1.286,0.298,0.655,5.0,75,165,15,1
9,75,675,8.333,0.373,0.913,2.23,252,616,113,1
23,198,4554,8.609,0.924,0.999,14.93,4210,4548,282,1
10,78,780,7.8,0.381,0.856,2.52,297,668,118,1
7,112,784,16.0,0.168,0.667,1.25,132,523,106,1
1,8,8,8.0,0.875,1.0,7.0,7,8,1,2
8,20,160,2.5,0.425,1.0,2.27,68,160,30,1
38,227,8626,5.974,0.304,0.648,7.09,2623,5593,370,1
7,38,266,5.429,0.301,0.85,1.45,80,226,55,1
9,13,117,1.444,0.564,0.863,3.88,66,101,17,1
11,152,1672,13.818,0.365,0.764,2.88,610,1278,212,1
13,441,5733,33.923,0.374,0.625,4.63,2144,3582,463,1
7,71,497,10.143,0.193,0.672,1.43,96,334,67,1
8,12,96,1.5,0.417,0.969,2.11,40,93,19,1
7,18,126,2.571,0.413,0.952,1.86,52,120,28,1
10,34,340,3.4,0.279,0.8,1.86,95,272,51,1
7,13,91,1.857,0.78,0.989,7.89,71,90,9,1
6,14,84,2.333,0.56,0.929,2.24,47,78,21,1
8,33,264,4.125,0.371,0.678,1.88,98,179,52,1
8,72,576,9.0,0.198,0.736,1.25,114,424,91,1
8,70,560,8.75,0.332,0.896,1.66,186,502,112,1
6,18,108,3.0,0.491,0.88,2.04,53,95,26,1
9,488,4392,54.222,0.074,0.343,1.28,326,1508,254,1
9,12,108,1.333,0.37,1.0,2.0,40,108,20,1
7,11,77,1.571,0.416,0.961,1.6,32,74,20,1
7,51,357,7.286,0.325,0.871,1.66,116,311,70,1
6,21,126,3.5,0.246,0.254,31.0,31,32,1,2
9,238,2142,26.444,0.168,0.614,1.26,359,1316,285,1
8,4,32,0.5,0.406,1.0,2.17,13,32,6,1
8,12,96,1.5,0.396,0.844,2.11,38,81,18,1
7,7,49,1.0,0.347,0.939,1.89,17,46,9,1
6,37,222,6.167,0.306,0.811,1.42,68,180,48,1
1,22,22,22.0,0.5,1.0,1.83,11,22,6,2
7,26,182,3.714,0.302,0.912,1.53,55,166,36,1
25,292,7300,11.68,0.45,0.914,7.23,3283,6670,454,1
197,198,39006,1.005,0.273,0.332,46.93,10654,12964,227,5
5,7,35,1.4,0.543,1.0,2.11,19,35,9,1
8,346,2768,43.25,0.144,0.581,1.31,398,1607,304,1
8,52,416,6.5,0.38,0.88,1.88,158,366,84,1
3,538,1614,179.33,0.37,0.424,22.11,597,685,27,2
12,25,300,2.083,0.32,0.643,2.59,96,193,37,1
12,84,1008,7.0,0.43,0.703,3.52,433,709,123,1
11,98,1078,8.909,0.317,0.643,2.8,342,693,122,1
10,325,3250,32.5,0.215,0.692,1.51,700,2248,463,1
9,97,873,10.778,0.455,0.939,2.28,397,820,174,1
13,77,1001,5.923,0.258,0.564,3.04,258,565,85,1
10,19,190,1.9,0.326,0.768,1.59,62,146,39,1
8,5,40,0.625,0.325,0.9,6.5,13,36,2,1
7,21,147,3.0,0.333,0.789,1.4,49,116,35,1
5,7,35,1.4,0.429,0.971,1.36,15,34,11,1
7,4,28,0.571,0.286,0.357,8.0,8,10,1,1
11,63,693,5.727,0.332,0.724,2.77,230,502,83,1
5,82,410,16.4,0.361,0.802,2.11,148,329,70,1
10,9,90,0.9,0.689,0.789,10.33,62,71,6,1
16,408,6528,25.5,0.39,0.644,5.28,2546,4204,482,1
7,13,91,1.857,0.396,1.0,1.33,36,91,27,1
12,307,3684,25.583,0.29,0.771,2.41,1068,2842,444,1
7,65,455,9.286,0.284,0.846,1.57,129,385,82,1
7,13,91,1.857,0.297,0.835,1.69,27,76,16,1
8,33,264,4.125,0.326,0.848,2.0,86,224,43,1
8,16,128,2.0,0.234,0.922,1.58,30,118,19,1
13,123,1599,9.462,0.428,0.798,4.38,684,1276,156,1
10,7,70,0.7,0.157,0.6,1.57,11,42,7,5
13,116,1508,8.923,0.292,0.703,2.49,441,1060,177,1
5,7,35,1.4,0.371,0.743,4.33,13,26,3,1
6,11,66,1.833,0.333,0.788,1.47,22,52,15,1
1,34,34,34.0,0.353,1.0,1.71,12,34,7,2
7,33,231,4.714,0.385,0.922,2.23,89,213,40,1
10,61,610,6.1,0.333,0.954,1.85,203,582,110,1
9,45,405,5.0,0.259,0.805,1.4,105,326,75,1
13,348,4524,26.769,0.195,0.743,1.64,881,3363,537,1
7,7,49,1.0,0.367,1.0,1.38,18,49,13,1
7,11,77,1.571,0.364,0.922,1.75,28,71,16,1
8,26,208,3.25,0.25,0.808,1.37,52,168,38,1
1,12,12,12.0,0.583,1.0,3.5,7,12,2,1
7,54,378,7.714,0.286,0.878,1.4,108,332,77,1
11,20,220,1.818,0.568,0.895,8.93,125,197,14,1
6,4,24,0.667,0.667,1.0,8.0,16,24,2,1
4,12,48,3.0,0.25,0.792,3.0,12,38,4,1
14,407,5698,29.071,0.353,0.574,4.54,2010,3273,443,1
9,18,162,2.0,0.309,0.901,2.63,50,146,19,1
9,20,180,2.222,0.628,0.856,8.07,113,154,14,1
11,34,374,3.091,0.364,0.642,2.78,136,240,49,1
4,114,456,28.5,0.393,0.978,1.83,179,446,98,1
9,267,2403,29.667,0.131,0.517,1.35,315,1242,234,1
7,31,217,4.429,0.318,0.839,1.35,69,182,51,1
7,41,287,5.857,0.213,0.861,1.33,61,247,46,1
1,47,47,47.0,0.34,1.0,1.14,16,47,14,1
8,75,600,9.375,0.423,0.87,3.02,254,522,84,1
26,378,9828,14.538,0.229,0.584,3.46,2252,5737,650,1
7,17,119,2.429,0.336,0.874,1.74,40,104,23,1
10,21,210,2.1,0.457,0.933,2.91,96,196,33,1
7,49,343,7.0,0.318,0.735,1.54,109,252,71,1
7,13,91,1.857,0.275,0.758,2.27,25,69,11,1
10,285,2850,28.5,0.175,0.598,1.58,499,1703,315,1
8,14,112,1.75,0.464,0.768,2.6,52,86,20,1
7,150,1050,21.429,0.178,0.774,1.36,187,813,138,1
5,39,195,7.8,0.492,0.872,2.46,96,170,39,1
9,47,423,5.222,0.385,0.917,2.51,163,388,65,1
14,185,2590,13.214,0.254,0.651,2.27,657,1687,289,1
5,32,160,6.4,0.419,0.981,1.31,67,157,51,1
11,22,242,2.0,0.632,0.864,8.05,153,209,19,1
10,51,510,5.1,0.22,0.841,1.29,112,429,87,1
11,9,99,0.818,0.515,0.768,8.5,51,76,6,1
8,50,400,6.25,0.405,0.993,1.93,162,397,84,1
5,22,110,4.4,0.536,0.909,2.19,59,100,27,1
8,30,240,3.75,0.383,0.983,1.88,92,236,49,1
10,40,400,4.0,0.278,0.615,2.09,111,246,53,1
2,6,12,3.0,0.583,0.917,7.0,7,11,1,1
9,187,1683,20.778,0.42,0.786,3.03,707,1323,233,1
9,18,162,2.0,0.66,0.883,7.13,107,143,15,1
24,468,11232,19.5,0.472,0.922,7.69,5296,10359,689,1
7,172,1204,24.571,0.294,0.967,2.07,354,1164,171,1
11,137,1507,12.455,0.317,0.652,2.7,478,982,177,1
2,176,352,88.0,0.528,0.605,31.0,186,213,6,2
10,36,360,3.6,0.319,0.817,1.98,115,294,58,1
25,118,2950,4.72,0.268,0.745,2.02,791,2198,392,1
12,498,5976,41.5,0.307,0.639,2.44,1833,3818,752,1
7,521,3647,74.429,0.091,0.386,1.28,333,1409,260,1
1,283,283,283.0,0.993,1.0,140.5,281,283,2,2
2,537,1074,268.5,0.537,0.609,22.19,577,654,26,2
10,23,230,2.3,0.287,0.617,2.2,66,142,30,1
11,150,1650,13.636,0.186,0.533,2.06,307,879,149,1
6,47,282,7.833,0.202,0.202,57.0,57,57,1,2
14,269,3766,19.214,0.337,0.625,4.61,1271,2353,276,1
10,30,300,3.0,0.357,0.87,2.14,107,261,50,1
11,261,2871,23.727,0.233,0.637,1.75,668,1830,381,1
5,14,70,2.8,0.557,0.871,2.79,39,61,14,1
10,185,1850,18.5,0.36,0.688,2.81,666,1272,237,1
1,41,41,41.0,0.927,1.0,12.67,38,41,3,2
7,53,371,7.571,0.089,0.245,1.5,33,91,22,1
1,263,263,263.0,0.152,1.0,1.03,40,263,39,1
8,54,432,6.75,0.35,0.887,1.74,151,383,87,1
11,100,1100,9.091,0.456,0.882,3.04,502,970,165,1
7,8,56,1.143,0.357,1.0,2.86,20,56,7,1
10,19,190,1.9,0.584,0.842,6.94,111,160,16,1
10,14,140,1.4,0.371,0.886,2.89,52,124,18,1
8,80,640,10.0,0.347,0.933,1.75,222,597,127,1
9,248,2232,27.556,0.33,0.727,2.39,737,1622,308,1
10,45,450,4.5,0.296,0.558,2.25,133,251,59,1
7,143,1001,20.429,0.105,0.526,1.28,105,527,82,1
11,261,2871,23.727,0.246,0.638,1.93,707,1833,366,1
7,27,189,3.857,0.079,0.175,2.5,15,33,6,1
8,1,8,0.125,1.0,1.0,8.0,8,8,1,4
8,150,1200,18.75,0.158,0.594,1.23,189,713,154,1
10,23,230,2.3,0.317,0.891,2.35,73,205,31,1
24,280,6720,11.667,0.449,0.904,7.76,3018,6072,389,1
36,43,1548,1.194,0.117,0.183,3.07,181,283,59,5
5,75,375,15.0,0.259,0.867,1.18,97,325,82,1
2,52,104,26.0,0.144,0.702,2.5,15,73,6,1
3,8,24,2.667,0.333,0.875,1.33,8,21,6,1
16,337,5392,21.063,0.363,0.598,5.19,1956,3225,377,1
8,29,232,3.625,0.341,0.78,1.93,79,181,41,1
8,7,56,0.875,0.393,0.946,2.0,22,53,11,1
9,21,189,2.333,0.365,0.82,2.88,69,155,24,1
16,121,1936,7.563,0.396,0.611,5.6,767,1182,137,1
10,79,790,7.9,0.347,0.784,2.25,274,619,122,1
9,217,1953,24.111,0.168,0.686,1.4,329,1339,235,1
7,30,210,4.286,0.271,0.871,1.33,57,183,43,1
11,262,2882,23.818,0.242,0.618,1.91,697,1781,364,1
8,35,280,4.375,0.379,0.886,1.66,106,248,64,1
7,9,63,1.286,0.349,0.746,1.83,22,47,12,1
9,101,909,11.222,0.442,0.861,2.68,402,783,150,1
7,19,133,2.714,0.278,0.662,1.37,37,88,27,1
12,404,4848,33.667,0.334,0.674,2.82,1617,3267,573,1
7,27,189,3.857,0.101,0.619,3.8,19,117,5,1
11,378,4158,34.364,0.33,0.684,2.95,1371,2846,465,1
7,121,847,17.286,0.305,0.675,1.79,258,572,144,1
7,16,112,2.286,0.321,0.643,2.57,36,72,14,1
9,56,504,6.222,0.196,0.617,1.24,99,311,80,1
9,42,378,4.667,0.384,0.817,2.38,145,309,61,1
10,39,390,3.9,0.344,0.59,2.79,134,230,48,1
9,186,1674,20.667,0.372,0.778,2.44,622,1303,255,1
10,19,190,1.9,0.379,0.816,2.12,72,155,34,1
11,1,11,0.091,1.0,1.0,11.0,11,11,1,4
9,104,936,11.556,0.282,0.904,1.93,264,846,137,1
10,41,410,4.1,0.266,0.539,1.98,109,221,55,1
13,433,5629,33.308,0.375,0.605,4.82,2109,3404,438,1
1,177,177,177.0,0.203,1.0,1.03,36,177,35,1
11,64,704,5.818,0.395,0.558,3.35,278,393,83,1
8,16,128,2.0,0.406,0.93,1.68,52,119,31,1
6,26,156,4.333,0.288,0.679,1.41,45,106,32,1
10,100,1000,10.0,0.444,0.924,2.64,444,924,168,1
11,64,704,5.818,0.25,0.597,2.0,176,420,88,1
12,37,444,3.083,0.41,0.748,3.87,182,332,47,1
9,17,153,1.889,0.627,0.922,6.4,96,141,15,1
5,43,215,8.6,0.233,0.8,1.35,50,172,37,1
7,52,364,7.429,0.272,0.788,1.22,99,287,81,1
10,120,1200,12.0,0.279,0.765,1.7,335,918,197,1
1,89,89,89.0,0.169,1.0,1.07,15,89,14,1
8,340,2720,42.5,0.183,0.736,1.41,499,2002,355,1
7,14,98,2.0,0.327,1.0,1.6,32,98,20,1
24,178,4272,7.417,0.491,0.969,7.86,2099,4141,267,1
5,29,145,5.8,0.4,0.89,1.87,58,129,31,1
8,13,104,1.625,0.365,0.808,1.9,38,84,20,1
10,52,520,5.2,0.269,0.85,2.0,140,442,70,1
1,52,52,52.0,0.788,1.0,10.25,41,52,4,2
16,415,6640,25.938,0.389,0.675,5.17,2582,4480,499,1
8,46,368,5.75,0.266,0.886,1.85,98,326,53,1
3,5,15,1.667,0.533,0.8,4.0,8,12,2,1
5,29,145,5.8,0.4,0.966,1.61,58,140,36,1
9,82,738,9.111,0.245,0.562,1.48,181,415,122,1
10,98,980,9.8,0.3,0.781,1.72,294,765,171,1
2,537,1074,268.5,0.538,0.594,32.11,578,638,18,2
11,52,572,4.727,0.28,0.605,2.05,160,346,78,1
10,35,350,3.5,0.326,0.583,2.24,114,204,51,1
12,23,276,1.917,0.576,0.826,7.57,159,228,21,1
9,120,1080,13.333,0.176,0.752,1.29,190,812,147,1
25,185,4625,7.4,0.479,0.95,7.24,2214,4395,306,1
12,261,3132,21.75,0.223,0.578,1.92,698,1810,364,1
10,35,350,3.5,0.311,0.72,1.88,109,252,58,1
7,23,161,3.286,0.28,0.783,1.29,45,126,35,1
6,9,54,1.5,0.296,0.796,1.23,16,43,13,1
9,26,234,2.889,0.291,0.795,1.74,68,186,39,1
9,47,423,5.222,0.336,0.891,1.78,142,377,80,1
6,50,300,8.333,0.24,0.63,1.76,72,189,41,1
